File,Tank,Sort #,ErrorFlag,Ch #,Mods
Sl150113c,TestTetrode,1,0,3,{}
Sl160113d,TestTetrode,1,0,4,{}
Sl170113c,TestTetrode,1,0,2,{}
Sl240113e,TestTetrode,1,0,4,{}
Sl250113c,TestTetrode,1,0,1,{}
Sl280113c,TestTetrode,1,0,1,{}
Sl280113c,TestTetrode,1,0,4,{}
Sl290113c,TestTetrode,1,0,3,{}
Sl310113b,TestTetrode,1,0,3,{}
Sl090514b,TestTetrode,1,0,1,{}
Sl290514c,TestTetrode,1,0,1,{}
Sl290514c,TestTetrode,1,0,2,{}
Sl290514c,TestTetrode,1,0,3,{}
Sl290514c,TestTetrode,1,0,4,{}
Sl300514d,Test16,1,0,1,{}
Sl300514d,Test16,1,0,2,{}
Sl300514d,Test16,2,0,2,{}
Sl300514d,Test16,1,0,3,{}
Sl300514d,Test16,1,0,7,{}
Sl300514d,Test16,1,0,8,{}
Sl300514d,Test16,1,0,9,{}
Sl300514d,Test16,2,0,9,{}
Sl300514d,Test16,1,0,10,{}
Sl300514d,Test16,1,0,11,{}
Sl300514d,Test16,1,0,12,{}
Sl300514d,Test16,1,0,13,{}
Sl300514d,Test16,1,0,15,{}
Sl300514d,Test16,1,0,16,{}
Sl030614b,Test16,1,0,1,{}
Sl030614b,Test16,2,0,1,{}
Sl030614b,Test16,1,0,2,{}
Sl030614b,Test16,2,0,2,{}
Sl030614b,Test16,1,0,3,{}
Sl030614b,Test16,1,0,4,{}
Sl030614b,Test16,2,0,4,{}
Sl030614b,Test16,1,0,6,{}
Sl030614b,Test16,1,0,7,{}
Sl030614b,Test16,1,0,9,{}
Sl030614b,Test16,2,0,9,{}
Sl030614b,Test16,1,0,10,{}
Sl030614b,Test16,1,0,11,{}
Sl030614b,Test16,1,0,12,{}
Sl030614b,Test16,1,0,13,{}
Sl030614b,Test16,1,0,14,{}
Sl030614b,Test16,1,0,15,{}
Sl030614b,Test16,1,0,16,{}
Sl040614c,Test16,1,0,2,{}
Sl040614c,Test16,1,0,3,{}
Sl040614c,Test16,1,0,7,{}
Sl040614c,Test16,1,0,8,{}
Sl040614c,Test16,1,0,10,{}
Sl040614c,Test16,1,0,11,{}
Sl040614c,Test16,1,0,13,{}
Sl040614c,Test16,1,0,14,{}
Sl040614c,Test16,2,0,14,{}
Sl040614c,Test16,1,0,15,{}
Sl040614c,Test16,2,0,15,{}
Sl090614d,Test16,1,0,1,{}
Sl090614d,Test16,1,0,2,{}
Sl090614d,Test16,1,0,3,{}
Sl090614d,Test16,1,0,4,{}
Sl090614d,Test16,1,0,5,{}
Sl090614d,Test16,1,0,6,{}
Sl090614d,Test16,1,0,7,{}
Sl090614d,Test16,1,0,8,{}
Sl090614d,Test16,1,0,12,{}
Sl090614d,Test16,1,0,13,{}
Sl090614d,Test16,1,0,14,{}
Sl090614d,Test16,1,0,15,{}
Sl090614d,Test16,1,0,16,{}
Sl100614b,Test16,1,0,1,{}
Sl100614b,Test16,1,0,2,{}
Sl100614b,Test16,1,0,3,{}
Sl100614b,Test16,1,0,4,{}
Sl100614b,Test16,1,0,6,{}
Sl100614b,Test16,1,0,7,{}
Sl100614b,Test16,1,0,8,{}
Sl100614b,Test16,1,0,10,{}
Sl100614b,Test16,1,0,11,{}
Sl100614b,Test16,1,0,12,{}
Sl100614b,Test16,1,0,13,{}
Sl100614b,Test16,1,0,14,{}
